filepath,filename,category,subtype,sample_rate,duration,status
fake_voice_fake_bg_wf_2s\balanced\0030__LJ002-0052_generated__X__fake_bg_0997_xmdOQDU6Esy3kjvtTZeJ.wav,0030__LJ002-0052_generated__X__fake_bg_0997_xmdOQDU6Esy3kjvtTZeJ.wav,fake_voice_fake_bg_wf_2s,balanced,16000,2.0,Valid
fake_voice_fake_bg_wf_2s\balanced\0031__LJ002-0117_generated__X__fake_bg_0696_83pQDPruBkgJFGHYWjTS.wav,0031__LJ002-0117_generated__X__fake_bg_0696_83pQDPruBkgJFGHYWjTS.wav,fake_voice_fake_bg_wf_2s,balanced,16000,2.0,Valid
fake_voice_fake_bg_wf_2s\balanced\0032__LJ002-0156_generated__X__fake_bg_0580_Cg2FHbJQtvjLxnfBPscl.wav,0032__LJ002-0156_generated__X__fake_bg_0580_Cg2FHbJQtvjLxnfBPscl.wav,fake_voice_fake_bg_wf_2s,balanced,16000,2.0,Valid
fake_voice_fake_bg_wf_2s\balanced\0033__LJ002-0122_generated__X__fake_bg_0579_ue8piX0xHEnJPavFGCAV.wav,0033__LJ002-0122_generated__X__fake_bg_0579_ue8piX0xHEnJPavFGCAV.wav,fake_voice_fake_bg_wf_2s,balanced,16000,2.0,Valid
fake_voice_fake_bg_wf_2s\balanced\0034__LJ003-0127_generated__X__fake_bg_0554_tZujCd9yKD5qpR3lQPNU.wav,0034__LJ003-0127_generated__X__fake_bg_0554_tZujCd9yKD5qpR3lQPNU.wav,fake_voice_fake_bg_wf_2s,balanced,16000,2.0,Valid
fake_voice_fake_bg_wf_2s\balanced\0035__LJ001-0145_generated__X__fake_bg_0593_26WTuA3aye4XpDcdHioN.wav,0035__LJ001-0145_generated__X__fake_bg_0593_26WTuA3aye4XpDcdHioN.wav,fake_voice_fake_bg_wf_2s,balanced,16000,2.0,Valid
fake_voice_fake_bg_wf_2s\balanced\0036__LJ003-0328_generated__X__fake_bg_0539_zH07pnSL1QGFJwecyPbs.wav,0036__LJ003-0328_generated__X__fake_bg_0539_zH07pnSL1QGFJwecyPbs.wav,fake_voice_fake_bg_wf_2s,balanced,16000,2.0,Valid
fake_voice_fake_bg_wf_2s\balanced\0037__LJ002-0054_generated__X__fake_bg_0177_akLdm4QpJgAUNynB7f0s.wav,0037__LJ002-0054_generated__X__fake_bg_0177_akLdm4QpJgAUNynB7f0s.wav,fake_voice_fake_bg_wf_2s,balanced,16000,2.0,Valid
fake_voice_fake_bg_wf_2s\balanced\0038__LJ003-0109_generated__X__fake_bg_0737_4YKiMpt7SgrQC3GAIDxl.wav,0038__LJ003-0109_generated__X__fake_bg_0737_4YKiMpt7SgrQC3GAIDxl.wav,fake_voice_fake_bg_wf_2s,balanced,16000,2.0,Valid
fake_voice_fake_bg_wf_2s\balanced\0039__LJ002-0228_generated__X__fake_bg_0542_V34DzRtAjEx201nmae9G.wav,0039__LJ002-0228_generated__X__fake_bg_0542_V34DzRtAjEx201nmae9G.wav,fake_voice_fake_bg_wf_2s,balanced,16000,2.0,Valid
fake_voice_fake_bg_wf_2s\balanced\0040__LJ004-0001_generated__X__fake_bg_0156_mUsjF0rgf3TJPhcdAVXI.wav,0040__LJ004-0001_generated__X__fake_bg_0156_mUsjF0rgf3TJPhcdAVXI.wav,fake_voice_fake_bg_wf_2s,balanced,16000,2.0,Valid
fake_voice_fake_bg_wf_2s\balanced\0041__LJ002-0021_generated__X__fake_bg_0624_9osL76G8IMDijt35xYBc.wav,0041__LJ002-0021_generated__X__fake_bg_0624_9osL76G8IMDijt35xYBc.wav,fake_voice_fake_bg_wf_2s,balanced,16000,2.0,Valid
fake_voice_fake_bg_wf_2s\balanced\0042__LJ004-0230_generated__X__fake_bg_0386_PUkRGt8wc4fB9neSLNvO.wav,0042__LJ004-0230_generated__X__fake_bg_0386_PUkRGt8wc4fB9neSLNvO.wav,fake_voice_fake_bg_wf_2s,balanced,16000,2.0,Valid
fake_voice_fake_bg_wf_2s\balanced\0043__LJ002-0085_generated__X__fake_bg_0510_GtQe8IprNEnhX5i1gMH3.wav,0043__LJ002-0085_generated__X__fake_bg_0510_GtQe8IprNEnhX5i1gMH3.wav,fake_voice_fake_bg_wf_2s,balanced,16000,2.0,Valid
fake_voice_fake_bg_wf_2s\balanced\0044__LJ001-0114_generated__X__fake_bg_0999_oJNgOKsD7k8fY9SG3Qc6.wav,0044__LJ001-0114_generated__X__fake_bg_0999_oJNgOKsD7k8fY9SG3Qc6.wav,fake_voice_fake_bg_wf_2s,balanced,16000,2.0,Valid
fake_voice_fake_bg_wf_2s\balanced\0045__LJ001-0015_generated__X__fake_bg_0289_t5pCzyvVXbljMOB0edrE.wav,0045__LJ001-0015_generated__X__fake_bg_0289_t5pCzyvVXbljMOB0edrE.wav,fake_voice_fake_bg_wf_2s,balanced,16000,2.0,Valid
fake_voice_fake_bg_wf_2s\balanced\0046__LJ001-0016_generated__X__fake_bg_0349_sPiR0YmwMHVF3kGxIvDO.wav,0046__LJ001-0016_generated__X__fake_bg_0349_sPiR0YmwMHVF3kGxIvDO.wav,fake_voice_fake_bg_wf_2s,balanced,16000,2.0,Valid
fake_voice_fake_bg_wf_2s\balanced\0047__LJ004-0217_generated__X__fake_bg_0820_UQujGlVd86h4Lri9m3C0.wav,0047__LJ004-0217_generated__X__fake_bg_0820_UQujGlVd86h4Lri9m3C0.wav,fake_voice_fake_bg_wf_2s,balanced,16000,2.0,Valid
fake_voice_fake_bg_wf_2s\balanced\0048__LJ003-0135_generated__X__fake_bg_0501_nBiQJWNVoGFrDdX43zOy.wav,0048__LJ003-0135_generated__X__fake_bg_0501_nBiQJWNVoGFrDdX43zOy.wav,fake_voice_fake_bg_wf_2s,balanced,16000,2.0,Valid
fake_voice_fake_bg_wf_2s\balanced\0049__LJ001-0175_generated__X__fake_bg_0609_ED4ksVLpFoGjv6Rx2lg0.wav,0049__LJ001-0175_generated__X__fake_bg_0609_ED4ksVLpFoGjv6Rx2lg0.wav,fake_voice_fake_bg_wf_2s,balanced,16000,2.0,Valid
fake_voice_fake_bg_wf_2s\balanced\0050__LJ002-0338_generated__X__fake_bg_0004_CvnlwuypaJEVi19WI8gY.wav,0050__LJ002-0338_generated__X__fake_bg_0004_CvnlwuypaJEVi19WI8gY.wav,fake_voice_fake_bg_wf_2s,balanced,16000,2.0,Valid
fake_voice_fake_bg_wf_2s\balanced\0051__LJ002-0027_generated__X__fake_bg_0280_HrP0z532slWGp9Tw4fFQ.wav,0051__LJ002-0027_generated__X__fake_bg_0280_HrP0z532slWGp9Tw4fFQ.wav,fake_voice_fake_bg_wf_2s,balanced,16000,2.0,Valid
fake_voice_fake_bg_wf_2s\balanced\0052__LJ003-0258_generated__X__fake_bg_0071_y87m3v9tfuk2KpaEgx1Y.wav,0052__LJ003-0258_generated__X__fake_bg_0071_y87m3v9tfuk2KpaEgx1Y.wav,fake_voice_fake_bg_wf_2s,balanced,16000,2.0,Valid
fake_voice_fake_bg_wf_2s\balanced\0053__LJ004-0006_generated__X__fake_bg_0393_kL2A6tVO9wIho7XSnsTy.wav,0053__LJ004-0006_generated__X__fake_bg_0393_kL2A6tVO9wIho7XSnsTy.wav,fake_voice_fake_bg_wf_2s,balanced,16000,2.0,Valid
fake_voice_fake_bg_wf_2s\balanced\0054__LJ001-0110_generated__X__fake_bg_0868_gmhVzK18xCjyInRqAXbY.wav,0054__LJ001-0110_generated__X__fake_bg_0868_gmhVzK18xCjyInRqAXbY.wav,fake_voice_fake_bg_wf_2s,balanced,16000,2.0,Valid
fake_voice_fake_bg_wf_2s\balanced\0055__LJ002-0024_generated__X__fake_bg_0984_RLum6dWrOg02AZv94hzc.wav,0055__LJ002-0024_generated__X__fake_bg_0984_RLum6dWrOg02AZv94hzc.wav,fake_voice_fake_bg_wf_2s,balanced,16000,2.0,Valid
fake_voice_fake_bg_wf_2s\balanced\0056__LJ002-0043_generated__X__fake_bg_0228_Q4AhIRTeGPFfbuYqVacL.wav,0056__LJ002-0043_generated__X__fake_bg_0228_Q4AhIRTeGPFfbuYqVacL.wav,fake_voice_fake_bg_wf_2s,balanced,16000,2.0,Valid
fake_voice_fake_bg_wf_2s\balanced\0057__LJ003-0163_generated__X__fake_bg_0959_fawvRuLZY3Vhb5treIWi.wav,0057__LJ003-0163_generated__X__fake_bg_0959_fawvRuLZY3Vhb5treIWi.wav,fake_voice_fake_bg_wf_2s,balanced,16000,2.0,Valid
fake_voice_fake_bg_wf_2s\balanced\0058__LJ003-0343_generated__X__fake_bg_0344_xt8QKav0rihXOLjgHlWN.wav,0058__LJ003-0343_generated__X__fake_bg_0344_xt8QKav0rihXOLjgHlWN.wav,fake_voice_fake_bg_wf_2s,balanced,16000,2.0,Valid
fake_voice_fake_bg_wf_2s\balanced\0059__LJ004-0220_generated__X__fake_bg_0423_7rBCikP2WHMLbje5S8Dp.wav,0059__LJ004-0220_generated__X__fake_bg_0423_7rBCikP2WHMLbje5S8Dp.wav,fake_voice_fake_bg_wf_2s,balanced,16000,2.0,Valid
fake_voice_fake_bg_wf_2s\balanced\0060__LJ002-0290_generated__X__fake_bg_0644_MTrQFSuzlUq3DWj1nsNV.wav,0060__LJ002-0290_generated__X__fake_bg_0644_MTrQFSuzlUq3DWj1nsNV.wav,fake_voice_fake_bg_wf_2s,balanced,16000,2.0,Valid
fake_voice_fake_bg_wf_2s\balanced\0061__LJ001-0012_generated__X__fake_bg_0573_TUu1M3lomkG6rSbQCfji.wav,0061__LJ001-0012_generated__X__fake_bg_0573_TUu1M3lomkG6rSbQCfji.wav,fake_voice_fake_bg_wf_2s,balanced,16000,2.0,Valid
fake_voice_fake_bg_wf_2s\balanced\0062__LJ003-0144_generated__X__fake_bg_0484_V962sRcSPkbTB1QtI4qU.wav,0062__LJ003-0144_generated__X__fake_bg_0484_V962sRcSPkbTB1QtI4qU.wav,fake_voice_fake_bg_wf_2s,balanced,16000,2.0,Valid
fake_voice_fake_bg_wf_2s\balanced\0063__LJ001-0081_generated__X__fake_bg_0943_0LAPfiRXVzJumk1EgNh4.wav,0063__LJ001-0081_generated__X__fake_bg_0943_0LAPfiRXVzJumk1EgNh4.wav,fake_voice_fake_bg_wf_2s,balanced,16000,2.0,Valid
fake_voice_fake_bg_wf_2s\balanced\0064__LJ002-0092_generated__X__fake_bg_0886_Q0EWrTe4HX59pbqfJnYz.wav,0064__LJ002-0092_generated__X__fake_bg_0886_Q0EWrTe4HX59pbqfJnYz.wav,fake_voice_fake_bg_wf_2s,balanced,16000,2.0,Valid
fake_voice_fake_bg_wf_2s\balanced\0065__LJ003-0335_generated__X__fake_bg_0981_v53n1hAxYOtHlfuFDsiW.wav,0065__LJ003-0335_generated__X__fake_bg_0981_v53n1hAxYOtHlfuFDsiW.wav,fake_voice_fake_bg_wf_2s,balanced,16000,2.0,Valid
fake_voice_fake_bg_wf_2s\balanced\0066__LJ004-0147_generated__X__fake_bg_0278_ofiyO6mqCMSYTpN8RuPK.wav,0066__LJ004-0147_generated__X__fake_bg_0278_ofiyO6mqCMSYTpN8RuPK.wav,fake_voice_fake_bg_wf_2s,balanced,16000,2.0,Valid
fake_voice_fake_bg_wf_2s\balanced\0067__LJ002-0081_generated__X__fake_bg_0619_uez4LA9PNJXkcsmp25iR.wav,0067__LJ002-0081_generated__X__fake_bg_0619_uez4LA9PNJXkcsmp25iR.wav,fake_voice_fake_bg_wf_2s,balanced,16000,2.0,Valid
fake_voice_fake_bg_wf_2s\balanced\0068__LJ003-0011_generated__X__fake_bg_0426_6eQYCOJqX47DtMWxPrU9.wav,0068__LJ003-0011_generated__X__fake_bg_0426_6eQYCOJqX47DtMWxPrU9.wav,fake_voice_fake_bg_wf_2s,balanced,16000,2.0,Valid
fake_voice_fake_bg_wf_2s\balanced\0069__LJ002-0147_generated__X__fake_bg_0167_g04VjainLFzWCx3mMYOS.wav,0069__LJ002-0147_generated__X__fake_bg_0167_g04VjainLFzWCx3mMYOS.wav,fake_voice_fake_bg_wf_2s,balanced,16000,2.0,Valid
fake_voice_fake_bg_wf_2s\balanced\0070__LJ004-0190_generated__X__fake_bg_0383_De9upwBSAUrNlmE5J4Yc.wav,0070__LJ004-0190_generated__X__fake_bg_0383_De9upwBSAUrNlmE5J4Yc.wav,fake_voice_fake_bg_wf_2s,balanced,16000,2.0,Valid
fake_voice_fake_bg_wf_2s\balanced\0071__LJ003-0002_generated__X__fake_bg_0720_tNl3YS90RGMIvg67kjnV.wav,0071__LJ003-0002_generated__X__fake_bg_0720_tNl3YS90RGMIvg67kjnV.wav,fake_voice_fake_bg_wf_2s,balanced,16000,2.0,Valid
fake_voice_fake_bg_wf_2s\balanced\0072__LJ002-0060_generated__X__fake_bg_0317_dLN3xEKzOmtSyqC7jonB.wav,0072__LJ002-0060_generated__X__fake_bg_0317_dLN3xEKzOmtSyqC7jonB.wav,fake_voice_fake_bg_wf_2s,balanced,16000,2.0,Valid
fake_voice_fake_bg_wf_2s\balanced\0073__LJ004-0141_generated__X__fake_bg_0485_qamAPnkUgfCiFGMyQYLZ.wav,0073__LJ004-0141_generated__X__fake_bg_0485_qamAPnkUgfCiFGMyQYLZ.wav,fake_voice_fake_bg_wf_2s,balanced,16000,2.0,Valid
fake_voice_fake_bg_wf_2s\balanced\0074__LJ005-0006_generated__X__fake_bg_0387_QCcyuYhd6tx397WZa25m.wav,0074__LJ005-0006_generated__X__fake_bg_0387_QCcyuYhd6tx397WZa25m.wav,fake_voice_fake_bg_wf_2s,balanced,16000,2.0,Valid
fake_voice_fake_bg_wf_2s\balanced\0075__LJ004-0216_generated__X__fake_bg_0172_9e0nbM6mFqJiLpu8ERvZ.wav,0075__LJ004-0216_generated__X__fake_bg_0172_9e0nbM6mFqJiLpu8ERvZ.wav,fake_voice_fake_bg_wf_2s,balanced,16000,2.0,Valid
fake_voice_fake_bg_wf_2s\balanced\0076__LJ002-0200_generated__X__fake_bg_0044_ETnkgFLSN4UYaP1CG29A.wav,0076__LJ002-0200_generated__X__fake_bg_0044_ETnkgFLSN4UYaP1CG29A.wav,fake_voice_fake_bg_wf_2s,balanced,16000,2.0,Valid
fake_voice_fake_bg_wf_2s\balanced\0077__LJ003-0334_generated__X__fake_bg_0348_RAXkrmgcYvVe1yET98iM.wav,0077__LJ003-0334_generated__X__fake_bg_0348_RAXkrmgcYvVe1yET98iM.wav,fake_voice_fake_bg_wf_2s,balanced,16000,2.0,Valid
fake_voice_fake_bg_wf_2s\balanced\0078__LJ002-0080_generated__X__fake_bg_0103_uGE8AmketMKJ2Ud9Z5PO.wav,0078__LJ002-0080_generated__X__fake_bg_0103_uGE8AmketMKJ2Ud9Z5PO.wav,fake_voice_fake_bg_wf_2s,balanced,16000,2.0,Valid
fake_voice_fake_bg_wf_2s\balanced\0079__LJ004-0225_generated__X__fake_bg_0925_mGHrqCRKfAwxJ9gdZSYt.wav,0079__LJ004-0225_generated__X__fake_bg_0925_mGHrqCRKfAwxJ9gdZSYt.wav,fake_voice_fake_bg_wf_2s,balanced,16000,2.0,Valid
fake_voice_fake_bg_wf_2s\balanced\0080__LJ003-0154_generated__X__fake_bg_0222_c1bDYx6fSk3vuieRwKoH.wav,0080__LJ003-0154_generated__X__fake_bg_0222_c1bDYx6fSk3vuieRwKoH.wav,fake_voice_fake_bg_wf_2s,balanced,16000,2.0,Valid
fake_voice_fake_bg_wf_2s\balanced\0081__LJ003-0099_generated__X__fake_bg_0594_alxhF3AXnweGcOr1DqKL.wav,0081__LJ003-0099_generated__X__fake_bg_0594_alxhF3AXnweGcOr1DqKL.wav,fake_voice_fake_bg_wf_2s,balanced,16000,2.0,Valid
fake_voice_fake_bg_wf_2s\balanced\0082__LJ004-0153_generated__X__fake_bg_0654_cYSo2Gj3CEaz1NwHnJU9.wav,0082__LJ004-0153_generated__X__fake_bg_0654_cYSo2Gj3CEaz1NwHnJU9.wav,fake_voice_fake_bg_wf_2s,balanced,16000,2.0,Valid
fake_voice_fake_bg_wf_2s\balanced\0083__LJ004-0133_generated__X__fake_bg_0366_KdouVfpBanmFiXLsC7QR.wav,0083__LJ004-0133_generated__X__fake_bg_0366_KdouVfpBanmFiXLsC7QR.wav,fake_voice_fake_bg_wf_2s,balanced,16000,2.0,Valid
fake_voice_fake_bg_wf_2s\balanced\0084__LJ002-0108_generated__X__fake_bg_0847_0c6IMzlFkBXQEP7rWjwK.wav,0084__LJ002-0108_generated__X__fake_bg_0847_0c6IMzlFkBXQEP7rWjwK.wav,fake_voice_fake_bg_wf_2s,balanced,16000,2.0,Valid
fake_voice_fake_bg_wf_2s\balanced\0085__LJ003-0232_generated__X__fake_bg_0931_fBCuL3ms9pzZFxcVH8Kj.wav,0085__LJ003-0232_generated__X__fake_bg_0931_fBCuL3ms9pzZFxcVH8Kj.wav,fake_voice_fake_bg_wf_2s,balanced,16000,2.0,Valid
fake_voice_fake_bg_wf_2s\balanced\0086__LJ004-0112_generated__X__fake_bg_0392_fO0n5dwLjrtvMPg2aRUc.wav,0086__LJ004-0112_generated__X__fake_bg_0392_fO0n5dwLjrtvMPg2aRUc.wav,fake_voice_fake_bg_wf_2s,balanced,16000,2.0,Valid
fake_voice_fake_bg_wf_2s\balanced\0087__LJ003-0288_generated__X__fake_bg_0822_dyzxFWaYgMLpmj3SVO9q.wav,0087__LJ003-0288_generated__X__fake_bg_0822_dyzxFWaYgMLpmj3SVO9q.wav,fake_voice_fake_bg_wf_2s,balanced,16000,2.0,Valid
fake_voice_fake_bg_wf_2s\balanced\0088__LJ003-0349_generated__X__fake_bg_0440_SeDGixK4LUY7mtIVTMgF.wav,0088__LJ003-0349_generated__X__fake_bg_0440_SeDGixK4LUY7mtIVTMgF.wav,fake_voice_fake_bg_wf_2s,balanced,16000,2.0,Valid
fake_voice_fake_bg_wf_2s\balanced\0089__LJ004-0152_generated__X__fake_bg_0251_v5qkFWnHi3Iz2SJhwXe4.wav,0089__LJ004-0152_generated__X__fake_bg_0251_v5qkFWnHi3Iz2SJhwXe4.wav,fake_voice_fake_bg_wf_2s,balanced,16000,2.0,Valid
fake_voice_fake_bg_wf_2s\balanced\0090__LJ004-0246_generated__X__fake_bg_0815_aXLqrzG8DUFd67PYx1tO.wav,0090__LJ004-0246_generated__X__fake_bg_0815_aXLqrzG8DUFd67PYx1tO.wav,fake_voice_fake_bg_wf_2s,balanced,16000,2.0,Valid
fake_voice_fake_bg_wf_2s\balanced\0091__LJ002-0074_generated__X__fake_bg_0856_DXKhx0mE6l1HeyICs7Bp.wav,0091__LJ002-0074_generated__X__fake_bg_0856_DXKhx0mE6l1HeyICs7Bp.wav,fake_voice_fake_bg_wf_2s,balanced,16000,2.0,Valid
